Präzision01164
Date:,2025/04/30
Time:,17:47:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
113,710.455811,979.294678,178.546280,660.159180,894.533569,114.119568,,,,858.906677,1210.475830,435.439026,689.989197,897.626709,119.018806,813.581726,1210.109863,279.471588,,,
114,710.322754,979.596008,178.158249,660.124329,894.755615,113.485298,,,,859.106445,1210.540161,435.486755,690.246948,898.566040,118.575775,813.750671,1210.177002,279.489929,,,
115,710.224365,979.813782,177.886215,660.056641,895.159912,112.943794,,,,859.257813,1210.678345,435.438782,690.197327,898.598694,117.888268,813.885254,1210.249268,279.553558,,,
116,710.262085,980.061646,177.474869,659.909485,895.780518,112.470070,,,,859.306091,1210.684692,435.541809,690.330383,898.672852,117.194679,813.936462,1210.326538,279.615295,,,
117,710.311096,980.483948,177.091278,659.889221,896.214233,112.164474,,,,859.375244,1210.766357,435.550507,690.351929,899.086914,116.612511,814.043701,1210.451294,279.603210,,,
118,710.316833,980.894104,176.541611,659.879578,896.513977,111.881981,,,,859.419312,1210.891479,435.542816,690.164001,899.779663,116.273460,814.221252,1210.507080,279.501129,,,
119,710.514160,981.289246,176.330948,659.751465,896.733826,111.688316,,,,859.497498,1211.028931,435.484283,690.181946,900.194519,115.663200,814.359619,1210.616577,279.474945,,,
120,710.644470,981.615906,176.195175,659.584167,897.039551,111.505684,,,,859.572510,1211.222656,435.468872,690.053894,900.497070,115.368866,814.516541,1210.697876,279.347382,,,
121,710.676025,981.978271,176.048141,659.327271,897.423645,111.293655,,,,859.548828,1211.372803,435.461487,689.674988,900.920227,115.499458,814.619995,1210.735962,279.218292,,,
122,710.784485,982.230591,176.023697,658.997314,897.938599,111.146324,,,,859.578064,1211.431274,435.486145,689.053955,901.330017,115.178940,814.435730,1210.993042,279.336304,,,
123,710.873596,982.430420,175.864395,658.548584,898.446411,111.007248,,,,859.600342,1211.642090,435.455475,688.488770,901.710083,114.911453,814.688721,1211.150146,279.062408,,,
124,711.070801,982.735779,175.598953,658.106445,898.843689,110.891838,,,,859.513428,1211.844971,435.433105,687.997314,902.049072,115.097954,814.998108,1211.232300,278.750092,,,
125,711.220093,983.044495,175.396805,657.551270,899.419678,111.049248,,,,859.481018,1212.091675,435.345459,687.613220,902.367188,115.080086,815.195496,1211.364868,278.523621,,,
126,711.334534,983.196960,175.165741,657.149719,899.917236,111.053452,,,,859.503357,1212.252808,435.301147,687.400635,902.696533,114.707520,815.318726,1211.437378,278.366608,,,
127,711.436646,983.561279,174.611237,656.849304,900.382385,110.871323,,,,859.452271,1212.370972,435.239441,687.226501,903.180176,114.346481,815.443420,1211.532959,278.202942,,,
128,711.358337,983.782715,174.270554,656.644775,900.656921,110.698830,,,,859.436646,1212.589478,435.175262,686.520386,903.558899,113.742554,815.509094,1211.652710,277.986267,,,
129,711.391907,984.143860,173.906494,656.428528,900.866150,110.580521,,,,859.533508,1212.766602,435.053925,686.231506,903.636230,113.627808,815.679504,1211.720093,277.756836,,,
130,711.312988,984.349121,173.546906,656.361572,901.095886,110.198692,,,,859.676636,1212.937378,434.892883,686.288818,903.998352,113.710106,815.768616,1211.772217,277.533234,,,
131,711.198792,984.591919,173.132706,656.020874,901.382874,109.810493,,,,859.711975,1213.063843,434.764313,686.049927,904.426270,113.429306,815.892456,1211.845947,277.277344,,,
132,711.001221,984.736877,172.765274,655.641968,901.796082,109.487923,,,,859.781067,1213.249878,434.669495,685.616272,904.828918,112.847176,815.971497,1211.890137,277.047943,,,
133,710.879333,984.875732,172.426331,655.243225,902.060730,108.824867,,,,859.902283,1213.325928,434.489929,685.300293,905.174377,112.460709,816.006958,1211.833740,276.811249,,,
134,710.691895,985.000244,172.048218,654.959045,902.363098,108.493141,,,,860.045105,1213.470703,434.287048,685.170349,905.201050,112.120872,816.152771,1211.871582,276.207672,,,
135,710.580505,985.103760,171.641373,654.642334,902.632202,108.264771,,,,860.195496,1213.569946,434.073242,684.885132,905.345032,111.968048,816.294373,1211.911133,275.920563,,,
136,710.433350,985.291077,171.321899,654.420105,902.782593,108.164818,,,,860.310425,1213.684692,433.914063,684.675598,905.398804,111.943466,816.301636,1211.910889,275.864166,,,
