PTP357
Date:,2025/04/23
Time:,12:53:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
268,520.739075,451.427979,96.420929,,,,,,,,,,,,,,,,,,,,,
269,520.758484,451.369659,96.450531,,,,,,,,,,,,,,,,,,,,,
270,520.717651,451.419617,96.445854,,,,,,,,,,,,,,,,,,,,,
271,520.675781,451.403381,96.410919,,,,,,,,,,,,,,,,,,,,,
272,520.656982,451.421295,96.359840,,,,,,,,,,,,,,,,,,,,,
273,520.632507,451.429138,96.401283,,,,,,,,,,,,,,,,,,,,,
274,520.565125,451.418091,96.436615,,,,,,,,,,,,,,,,,,,,,
275,520.492859,451.426758,96.553871,,,,,,,,,,,,,,,,,,,,,
276,520.418762,451.441284,96.655327,,,,,,,,,,,,,,,,,,,,,
277,520.280029,451.490295,96.754707,,,,,,,,,,,,,,,,,,,,,
278,520.111206,451.533936,96.988068,,,,,,,,,,,,,,,,,,,,,
279,519.951538,451.610901,97.438560,,,,,,,,,,,,,,,,,,,,,
280,519.650452,451.730865,98.070717,,,,,,,,,,,,,,,,,,,,,
281,519.332214,451.889313,98.536400,,,,,,,,,,,,,,,,,,,,,
282,519.137756,451.907410,99.034729,,,,,,,,,,,,,,,,,,,,,
283,518.727905,451.878998,99.540863,,,,,,,,,,,,,,,,,,,,,
284,518.524292,452.051819,99.906891,,,,,,,,,,,,,,,,,,,,,
285,518.249451,452.345184,100.593613,,,,,,,,,,,,,,,,,,,,,
286,517.945618,452.535400,101.551628,,,,,,,,,,,,,,,,,,,,,
287,517.681396,452.757813,102.739227,,,,,,,,,,,,,,,,,,,,,
288,517.203735,453.029327,103.917343,,,,,,,,,,,,,,,,,,,,,
289,516.945984,453.538116,105.223434,,,,,,,,,,,,,,,,,,,,,
290,517.035095,454.060913,105.830116,,,,,,,,,,,,,,,,,,,2310.864014,301.036743,-134.289993
291,517.074951,454.595520,106.588448,,,,,,,,,,,,,,,,,,,,,
292,517.165527,455.004303,108.521446,,,,,,,,,,,,,,,,,,,,,
293,517.032227,455.726624,110.213493,,,,,,,,,,,,,,,,,,,,,

